Resource ARN,Resource Type,Deployment,Module,Name,Type,VPC Type,VPC_Owner_Account,aws-cdk:subnet-name,aws-cdk:subnet-type,aws-control-tower,aws:cloudformation:logical-id,aws:cloudformation:stack-id,aws:cloudformation:stack-name,aws:eks:cluster-name,codeseeder-seedkit,codeseeder-seedkit-name,createdBy,customer_function,kubernetes.io/cluster/addf-ad-labeling-int-eks-cluster-eks-cluster,kubernetes.io/cluster/addf-ad-labeling-mw-eks-cluster-eks-cluster,kubernetes.io/role/internal-elb,lambda:createdBy,orionadp:createdBy,orionadp:gitOrganisation,orionadp:gitRepositoryName,orionadp_platform_managed
arn:aws:cloudformation:eu-central-1:326605791258:stack/seedfarmer-addf-deployment-role/ac1fcb90-8319-11ee-933d-0614af76deb7,cloudformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,cloudformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-global-base-Int/1feb2f50-8316-11ee-88e2-0a70a470e959,cloudformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ADF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/addf-managed-policy/5494d7a0-b788-11ee-adb2-06e5bd64e2f1,cloudformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,realm-cicd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/addf-realm-cicd-codebuild-sg-codebuild-sg-int-iam-policy/a5aa3df0-b9b9-11ee-805d-06a80d999935,cloudformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,addf-realm-cicd-codebuild-sg-codebuild-sg-int-iam-policy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:cloudwatch:eu-central-1:326605791258:alarm:monitoring-logs-spoke-logdiscoverymonitoringlogspokeprodeucentral1subscribedlqalarmEB7C1B08-SUgLBBV34nwG,cloudwatch,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ec2:eu-central-1:326605791258:natgateway/nat-055ed75e6f21cc87d,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-NatGw2,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1NatGw2,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:natgateway/nat-0503640618d9f493e,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-NatGw1,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1NatGw1,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:route-table/rtb-05ec1f1b0a5f79984,ec2,N/A,N/A,orionadp-network-vpc-awsrouted1-routable-subnets2,routable,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet2RouteTableDD955B4C,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:route-table/rtb-053f8756ccdbb7b2e,ec2,N/A,N/A,orionadp-network-vpc-awsrouted1-routable-subnets3,routable,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet3RouteTable6F666337,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:route-table/rtb-0c150a7e717ca37d5,ec2,N/A,N/A,orionadp-network-vpc-awsrouted1-routable-subnets1,routable,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet1RouteTable41F0D2C1,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:route-table/rtb-0d7867c42cf959733,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-routable-subnets2,routable,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet2RouteTable9E282912,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:route-table/rtb-0302ef540b1fdebdc,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-routable-subnets3,routable,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet3RouteTableFE0520DD,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:security-group/sg-054b15aeb93f9d46d,ec2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CodeBuildSGBA023303,arn:aws:cloudformation:eu-central-1:326605791258:stack/addf-realm-cicd-codebuild-sg-codebuild-sg-int/ef934b00-b9b9-11ee-88be-0225831fd39b,addf-realm-cicd-codebuild-sg-codebuild-sg-int,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ec2:eu-central-1:326605791258:subnet/subnet-0fc16f276fa45685b,ec2,N/A,N/A,orionadp-network-vpc-awsrouted1-routable-subnets2,routable,N/A,N/A,orionadp-network-vpc-awsrouted1-routable-subnets,Isolated,N/A,orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet2Subnet05141261,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:subnet/subnet-045a9b4c0c46f043a,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-non-routable-subnets3,non-routable,N/A,N/A,N/A,Private,N/A,orionadpnetworkvpconpremrouted1nonroutable2SubnetC9F1BF30,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:subnet/subnet-0db3cf90aa3dbb78f,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-non-routable-subnets2,non-routable,N/A,N/A,N/A,Private,N/A,orionadpnetworkvpconpremrouted1nonroutable1SubnetCB33BB59,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
