Tag Key,dev,int,Possible Values
Project,yes,no,['ADLabeling']
Deployment,yes,yes,"['ad-labeling-dev', 'ad-labeling-mw', 'addf-ad-labeling-int', 'addf-ad-labeling-dev', 'ad-labeling-int', 'addf-ad-labeling-mw']"
Environment,yes,no,['DEV']
customer_function,yes,yes,"['platform', 'common']"
Module,yes,yes,"['efs-efs-storage', 's3-ad-labeling-bucket', 'parameters-store-ssm-parameters', 'helm-chart-repo-helm-chart-repo', 'codepipline-with-codebuild-codepipeline-with-codebuild', 'codebuild-and-pipline-codebuild-and-pipeline', 's3-ad-labeling-bucket-1']"
orionadp:gitRepositoryName,yes,yes,"['security-data-events', 'security-malware-on-boarding', 'account-creation-actions']"
orionadp:createdBy,yes,yes,"['adf', 'account-creation-actions']"
orionadp:gitOrganisation,yes,yes,['OrionAdpPlatform']
aws:cloudformation:stack-name,yes,yes,"['addf-ad-labeling-dev-parameters-store-ssm-parameters', 'ad-labeling-dev-document-db-documentdb-cluster', 'adf-security-securityhub-sync-admin', 'addf-ad-labeling-dev-eks-cluster-eks-awscdkawseksClusterResourceProviderNestedStackaws-1HJI2RMZ7YCLZ', 'addf-ad-labeling-dev-codepipline-with-codebuild-codepipeline-with-codebuild', 'addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline', 'aws-codeseeder-addf', 'addf-realm-cicd-codebuild-sg-codebuild-sg-dev', 'addf-ad-labeling-dev-helm-chart-repo-helm-chart-repo', 'oao-interface-ad-labeling-dev-oao-event-receiver-eventrule-tagging', 'adf-security-central-ec2-patching-realm-stack', 'monitoring-metrics-spoke', 'security-patch-manager', 'orionadp-network-vpc-awsrouted1', 'orionadp-network-vpc-onpremrouted1', 'oao-interface-ad-labeling-dev-oao-event-publisher', 'ad-labeling-dev-efs-efs-storage', 'addf-realm-cicd-codebuild-sg-codebuild-sg-int', 'StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-874e03e4-a0ac-4783-9ede-270043c2d7b4', 'oao-interface-ad-labeling-dev-oao-event-receiver', 'addf-ad-labeling-int-s3-ad-labeling-bucket', 'addf-ad-labeling-dev-eks-cluster-eks', 'addf-ad-labeling-dev-ecr-repositories-ecr-repositories', 'addf-ad-labeling-dev-s3-ad-labeling-bucket-1', 'orionadp-network-shared-base-vpc-resources', 'addf-ad-labeling-mw-s3-ad-labeling-bucket', 'adf-data-events-bucket', 'adf-malware-on-boarding', 'adf-data-events-on-boarding', 'adf-data-events-trail', 'monitoring-metrics-spoke-eu-central-1', 'StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-6c202e28-8445-4b29-a19c-639569c723cc', 'monitoring-logs-spoke', 'CDKToolkit', 'addf-ad-labeling-dev-eks-cluster-eks-awscdkawseksKubectlProviderNestedStackawscdkawsek-J4VDAA4BL2LF', 'addf-ad-labeling-mw-codepipline-with-codebuild-codepipeline-with-codebuild']"
aws:cloudformation:stack-id,yes,yes,"['arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-dev-eks-cluster-eks-awscdkawseksKubectlProviderNestedStackawscdkawsek-J4VDAA4BL2LF/7ebda780-d891-11ee-b71d-0276b2d273d5', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-dev-eks-cluster-eks/6acee150-d88f-11ee-a6bc-0ab0e1ac1e01', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/CDKToolkit/e8ca0690-8315-11ee-89d4-06c81b31d5cf', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-dev-helm-chart-repo-helm-chart-repo/e2599370-b12d-11ee-942d-062df240ccf5', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/oao-interface-ad-labeling-dev-oao-event-receiver/d3f0ea90-9da5-11ee-b9fd-02701959c661', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline/0cbdc840-c2d9-11ee-a84e-0612960eeffd', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-data-events-on-boarding/8cd67820-831d-11ee-ac80-0a1fc76ab593', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-dev-codepipline-with-codebuild-codepipeline-with-codebuild/7e614460-c4c1-11ee-9709-06b417c9ef95', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/addf-ad-labeling-mw-s3-ad-labeling-bucket/059afeb0-bcf4-11ee-b229-060ebb509fcb', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline/5fa6edd0-c341-11ee-b53b-0ad38c2d946d', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline/76499ef0-c2cb-11ee-8b72-023053fd4b9d', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/ad-labeling-dev-document-db-documentdb-cluster/66e962b0-cfdc-11ee-99ae-06bf4f3ed6f5', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline/23487000-c2d0-11ee-867d-0607d26cb7dd', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/oao-interface-ad-labeling-dev-oao-event-publisher/f7bbaaa0-9da5-11ee-8e42-0a03516c9e1b', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/aws-codeseeder-addf/bb91da30-b787-11ee-9ee3-0a490793435f', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/security-patch-manager/b4acd990-8316-11ee-8afd-0a1d2cc01a15', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/orionadp-network-shared-base-vpc-resources/4101f620-831a-11ee-a334-0a16539998e9', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/addf-realm-cicd-codebuild-sg-codebuild-sg-int/ef934b00-b9b9-11ee-88be-0225831fd39b', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-shared-base-vpc-resources/2a6c6800-831a-11ee-bbbb-069fb4220557', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/monitoring-logs-spoke/7c29e4a0-831b-11ee-a68a-021fbb46bca1', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/adf-data-events-on-boarding/3f1b2d60-831d-11ee-aaa7-0a5dc3c48313', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline/4844d460-c3a3-11ee-8a6a-026ae4ae39f3', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-dev-codepipline-with-codebuild-codepipeline-with-codebuild/3b287890-c4ca-11ee-af86-06773b41c073', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline/b68b3250-c297-11ee-a7ef-02db5eed7951', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/addf-ad-labeling-int-s3-ad-labeling-bucket/38785e10-bd06-11ee-86e9-0612960eeffd', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/monitoring-metrics-spoke/6ab77e30-831b-11ee-80a6-02d096ecbc3f', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-874e03e4-a0ac-4783-9ede-270043c2d7b4/a33db960-8314-11ee-aab3-0ac45fd7ac1b', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-dev-parameters-store-ssm-parameters/905e91f0-e5cc-11ee-845b-0606847cb8db', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-dev-eks-cluster-eks-awscdkawseksClusterResourceProviderNestedStackaws-1HJI2RMZ7YCLZ/7bad1e10-d88f-11ee-b466-020aa4f89a6d', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline/f807b2b0-c28f-11ee-a1a4-0211f5726d97', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/ad-labeling-dev-efs-efs-storage/2c431e50-dc73-11ee-bcb5-0a1a054149df', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-malware-on-boarding/e9c2fdd0-831b-11ee-9953-0673426b2b3b', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/adf-malware-on-boarding/9bb21900-831b-11ee-8e5e-0aef61eefd81', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codepipline-with-codebuild-codepipeline-with-codebuild/c8f4ddd0-c407-11ee-9a69-06e5bd64e2f1', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codepipline-with-codebuild-codepipeline-with-codebuild/8973f9a0-c3ff-11ee-9f4e-020b4ebe33d1', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/monitoring-metrics-spoke-eu-central-1/81877d40-831b-11ee-9b7d-0658d296e609', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-data-events-trail/301883e0-831c-11ee-bcb8-0a012b3a1f85', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/security-patch-manager/a6d450d0-8318-11ee-92e0-0a24451cee79', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/adf-data-events-trail/dff0cd00-831b-11ee-8587-063113316911', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/aws-codeseeder-addf/668d7c30-831e-11ee-a730-024bc236c56d', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-security-central-ec2-patching-realm-stack/6d9fd4d0-1128-11ef-a317-0a0589d40351', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codepipline-with-codebuild-codepipeline-with-codebuild/3067e5a0-c405-11ee-b78d-0a3c218acbf7', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/CDKToolkit/4c198a20-8318-11ee-a09b-0aded261b16f', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-realm-cicd-codebuild-sg-codebuild-sg-dev/f4d3beb0-b9b9-11ee-b769-02e9ee511e6f', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/orionadp-network-vpc-awsrouted1/89e07100-831a-11ee-9c48-0a8286402ff1', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/monitoring-metrics-spoke-eu-central-1/8184be20-831b-11ee-b534-02c077530007', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline/1a8d15e0-c35e-11ee-9f59-0a6d14ba70a7', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/monitoring-logs-spoke/6be9e3b0-831b-11ee-9242-025a74c864a3', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/adf-security-securityhub-sync-admin/62ef0010-831b-11ee-8ea3-02343d386bfd', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/oao-interface-ad-labeling-dev-oao-event-receiver-eventrule-tagging/267d6c70-9da6-11ee-a78e-064e70c3d3a3', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-dev-ecr-repositories-ecr-repositories/5abd7160-b467-11ee-bce3-02438c5ed91b', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-security-securityhub-sync-admin/af495b40-831b-11ee-bc0d-024d1116423f', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline/cc988eb0-c389-11ee-a678-06152c45d0d1', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/adf-security-central-ec2-patching-realm-stack/671fdc40-1128-11ef-96a8-0ad1fc3f68b9', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-dev-s3-ad-labeling-bucket-1/34181ad0-fe39-11ee-a383-0a47c449d239', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codebuild-and-pipline-codebuild-and-pipeline/e176a330-c1a4-11ee-a6e9-0633c470375b', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/adf-data-events-bucket/a60adef0-831b-11ee-aab3-0ac45fd7ac1b', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/orionadp-network-vpc-onpremrouted1/089bd4d0-831b-11ee-b030-02119da9bb79', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/monitoring-metrics-spoke/6c766c40-831b-11ee-9453-0a0dd7c2bf27', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-6c202e28-8445-4b29-a19c-639569c723cc/74944fa0-8316-11ee-8bd3-020da3fb637f', 'arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-data-events-bucket/f5954460-831b-11ee-a67d-0ac54e0d8271', 'arn:aws:cloudformation:eu-central-1:090630799430:stack/addf-ad-labeling-mw-codepipline-with-codebuild-codepipeline-with-codebuild/f8e5b880-c401-11ee-892e-069e46502f3d']"
